Complex number, complex name, wind turbine number (temporary), completion date, classification, address, X-coordinate (GRS80_C_x), Y-coordinate (GRS80_C_y), latitude (lat), longitude (lon), capacity (kW), manufacturer
3,Yeongdeok,1,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",426381.6907,416598.4908,36.41119125,129.4146661,1650,Vestas
3,Yeongdeok,2,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",426605.3917,416667.9399,36.41318973,129.4155021,1650,Vestas
3,Yeongdeok,3,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",426786.9146,416538.028,36.41485339,129.4141056,1650,Vestas
3,Yeongdeok,4,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",426813.6265,416281.1732,36.41515174,129.4112517,1650,Vestas
3,Yeongdeok,5,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427015.9496,416430.1579,36.41693985,129.4129678,1650,Vestas
3,Yeongdeok,6,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427249.7437,416262.1185,36.4190827,129.4111609,1650,Vestas
3,Yeongdeok,7,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427204.3729,416729.6073,36.41856886,129.4163562,1650,Vestas
3,Yeongdeok,8,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",426852.4551,417043.2647,36.41532951,129.4197521,1650,Vestas
3,Yeongdeok,9,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427093.9768,416958.1625,36.41752331,129.4188715,1650,Vestas
3,Yeongdeok,10,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427126.3554,417167.7386,36.41776749,129.4212153,1650,Vestas
3,Yeongdeok,11,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427340.7993,417032.1375,36.41972891,129.4197646,1650,Vestas
3,Yeongdeok,12,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427519.0247,416936.3332,36.42135522,129.4187471,1650,Vestas
3,Yeongdeok,13,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427516.2115,417138.6296,36.42128419,129.421,1650,Vestas
3,Yeongdeok,14,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",427812.3384,417031.3695,36.42397465,129.4198879,1650,Vestas
3,Yeongdeok,15,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428008.0608,417103.3999,36.42572059,129.4207451,1650,Vestas
3,Yeongdeok,16,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428075.8935,417429.3787,36.42625759,129.4243959,1650,Vestas
3,Yeongdeok,17,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428107.5281,416685.8482,36.42671044,129.4161208,1650,Vestas
3,Yeongdeok,18,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428268.8795,416886.7419,36.42811785,129.4184041,1650,Vestas
3,Yeongdeok,19,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428377.1988,416558.1116,36.42916727,129.4147729,1650,Vestas
3,Yeongdeok,20,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428523.1939,416887.4742,36.43040744,129.4184833,1650,Vestas
3,Yeongdeok,21,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428583.6977,416425.6779,36.43105637,129.4133549,1650,Vestas
3,Yeongdeok,22,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428712.7917,416905.5674,36.43211042,129.4187379,1650,Vestas
3,Yeongdeok,23,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428071.7743,418003.1411,36.42609046,129.4307871,1650,Vestas
3,Yeongdeok,24,01-6,Onshore,"Hwasu-ri, Yeongdeok-eup, Yeongdeok-gun, Gyeongsangbuk-do, Korea",428302.7316,418084.4526,36.42815144,129.4317579,1650,Vestas
4,Hankyung,1,12-7,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",83677.3053,122641.7971,33.3437,126.169,3000,Vestas
4,Hankyung,2,12-7,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",83446.6139,122360.6541,33.3416,126.166,3000,Vestas
4,Hankyung,3,12-7,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",82780.3785,122448.4316,33.3356,126.167,3000,Vestas
4,Hankyung,5,12-7,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",83663.2522,123014.0814,33.3436,126.173,3000,Vestas
4,Hankyung,6,12-7,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",83864.3786,122829.483,33.3454,126.171,3000,Vestas
4,Hankyung1,9,02-4,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",82949.734,122077.3604,33.3371,126.163,1500,Vestas
4,Hankyung2,7,02-4,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",83136.0513,122358.1693,33.3388,126.166,1500,Vestas
4,Hankyung2,8,02-4,Onshore,"3879-5, Yongsu-ri, HanGyeong-myeon, Jeju-si, Jeju-teukbyeoljachido",82712.3434,122634.1046,33.335,126.169,1500,Vestas
5,Gangwon,1,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",574840.7109,350869.2915,37.76088969,128.7120854,2000,Vestas
5,Gangwon,2,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",574660.2722,351015.416,37.75924063,128.7137054,2000,Vestas
5,Gangwon,3,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",574502.6809,351245.5607,37.75778342,128.7162832,2000,Vestas
5,Gangwon,4,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",574248.8489,351411.4849,37.75547008,128.7181124,2000,Vestas
5,Gangwon,5,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",574189.4301,351729.9445,37.75488225,128.7217122,2000,Vestas
5,Gangwon,6,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",573940.4369,351799.1878,37.75262844,128.7224456,2000,Vestas
5,Gangwon,7,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",573717.7768,351859.984,37.75061317,128.7230886,2000,Vestas
5,Gangwon,8,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",573500.9001,351969.539,37.74864189,128.7242858,2000,Vestas
5,Gangwon,9,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",573399.9048,352306.0635,37.74767645,128.7280814,2000,Vestas
5,Gangwon,10,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",573247.1565,352041.6449,37.74634481,128.7250506,2000,Vestas
5,Gangwon,11,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572954.1843,351723.7321,37.74375914,128.7213839,2000,Vestas
5,Gangwon,12,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572409.4619,351744.0186,37.73885022,128.7215003,2000,Vestas
5,Gangwon,13,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",573264.4171,352577.5678,37.74641111,128.7311322,2000,Vestas
5,Gangwon,14,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572676.9007,353315.3509,37.74099699,128.7393756,2000,Vestas
5,Gangwon,15,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572726.8028,353670.8259,37.74138682,128.7434173,2000,Vestas
5,Gangwon,16,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572506.1554,353671.2653,37.7393997,128.7433757,2000,Vestas
5,Gangwon,17,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572470.7415,353415.9137,37.73912358,128.7404725,2000,Vestas
5,Gangwon,18,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572161.719,353606.5802,37.73630872,128.7425694,2000,Vestas
5,Gangwon,19,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571898.3479,353779.5655,37.7339079,128.7444753,2000,Vestas
5,Gangwon,20,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571625.0624,353781.488,37.7314465,128.7444394,2000,Vestas
5,Gangwon,21,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571226.9178,353745.8873,37.72786698,128.7439516,2000,Vestas
5,Gangwon,22,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571040.9302,353857.0566,37.7261734,128.7451727,2000,Vestas
5,Gangwon,23,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570889.2935,353665.0046,37.72484006,128.7429633,2000,Vestas
5,Gangwon,24,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571150.9396,352994.8334,37.72730846,128.73542,2000,Vestas
5,Gangwon,25,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570826.9874,353126.4372,37.7243691,128.736844,2000,Vestas
5,Gangwon,26,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570403.0387,353914.6252,37.72041919,128.7456906,2000,Vestas
5,Gangwon,27,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570206.948,353840.6633,37.7186657,128.7448106,2000,Vestas
5,Gangwon,28,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570309.6443,353592.7644,37.71963211,128.7420219,2000,Vestas
5,Gangwon,29,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570044.38,353354.947,37.71728307,128.7392699,2000,Vestas
5,Gangwon,30,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569755.9717,353463.6823,37.7146676,128.7404418,2000,Vestas
5,Gangwon,31,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569521.6799,353465.1282,37.71255743,128.7404089,2000,Vestas
5,Gangwon,32,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569200.8856,353519.1857,37.70965944,128.740954,2000,Vestas
5,Gangwon,33,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569298.5386,353244.2264,37.71058486,128.7378578,2000,Vestas
5,Gangwon,34,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",568881.9072,353600.6697,37.70677321,128.7418104,2000,Vestas
5,Gangwon,35,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572604.631,349404.7496,37.74099241,128.6950127,2000,Vestas
5,Gangwon,36,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",572281.6998,349608.8276,37.73805087,128.6972606,2000,Vestas
5,Gangwon,37,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571993.7024,349855.1974,37.73541697,128.6999952,2000,Vestas
5,Gangwon,38,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571788.0861,349694.4434,37.73359153,128.69813,2000,Vestas
5,Gangwon,39,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571540.6869,349779.8017,37.73134957,128.699047,2000,Vestas
5,Gangwon,40,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",571364.6908,349974.7336,37.72973271,128.701221,2000,Vestas
5,Gangwon,41,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570967.4941,350216.4294,37.72611607,128.7038796,2000,Vestas
5,Gangwon,42,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570695.7877,350569.5463,37.72361121,128.7078271,2000,Vestas
5,Gangwon,43,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570320.8729,350776.7349,37.72020078,128.7100985,2000,Vestas
5,Gangwon,44,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570709.45,349803.5675,37.72385978,128.6991453,2000,Vestas
5,Gangwon,45,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570501.957,349836.0255,37.72198584,128.6994706,2000,Vestas
5,Gangwon,46,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",570129.3941,350902.9352,37.71845561,128.7114896,2000,Vestas
5,Gangwon,47,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569881.0741,350945.273,37.71621235,128.7119181,2000,Vestas
5,Gangwon,48,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569632.3733,351016.6448,37.71396087,128.7126757,2000,Vestas
5,Gangwon,49,09-6,Onshore,"Hoenggye-ri, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",569386.1006,351107.9826,37.71172796,128.71366,2000,Vestas
6,Sinchang,1,03-6,Onshore,"Jeju-si, Jeju-teukbyeoljachido",83531.84942,123482.8597,33.34244878,126.1780464,850,Vestas
6,Sinchang,2,03-6,Onshore,"Jeju-si, Jeju-teukbyeoljachido",83302.14433,122768.4956,33.3403269,126.1703929,850,Vestas
7,Yangyang,1,06-6,Onshore,Gangwon-do Yangyang-gun Seo-myeon Yeongdeok-ri,603371.1155,331391.2646,38.02084936,128.4963128,1500,Acciona
7,Yangyang,2,06-6,Onshore,Gangwon-do Yangyang-gun Seo-myeon Yeongdeok-ri,602963.045,331357.0051,38.01717916,128.4958481,1500,Acciona
8,Woljeong,1,09-6,Onshore,"Jeju-si, Jeju-teukbyeoljachido",107711.7184,179770.132,33.56298551,126.7821355,1500,Hanjin Industry
10,Gori,1,06-8,Onshore,Busan Gijang-gun Jangan-eup Hyoam-ri 258 beonji,306695.6496,408622.0353,35.33516138,129.2945042,750,Unison
11,Taegisan,1,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",556863.2017,313106.657,37.60440347,128.2808769,2000,Vestas
11,Taegisan,2,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",557108.8212,313028.6548,37.6066255,128.2800317,2000,Vestas
11,Taegisan,3,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",557331.1763,313024.1529,37.60862895,128.280015,2000,Vestas
11,Taegisan,4,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",557496.2205,312920.2,37.61012837,128.2788635,2000,Vestas
11,Taegisan,5,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",557697.5961,312925.7814,37.61194161,128.2789577,2000,Vestas
11,Taegisan,6,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",557878.1788,312934.9925,37.6135671,128.2790899,2000,Vestas
11,Taegisan,7,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",558048.9231,313032.1732,37.61509317,128.2802167,2000,Vestas
11,Taegisan,8,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",558212.8459,313126.3388,37.61655815,128.2813083,2000,Vestas
11,Taegisan,9,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",558366.889,313259.7798,37.61792929,128.2828432,2000,Vestas
11,Taegisan,10,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",558845.0371,313231.9931,37.62223968,128.2826025,2000,Vestas
11,Taegisan,11,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",559019.581,313412.5318,37.62378966,128.2846741,2000,Vestas
11,Taegisan,12,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",559204.3662,313543.7886,37.62543794,128.2861893,2000,Vestas
11,Taegisan,13,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",559415.5652,313623.2049,37.62733052,128.2871215,2000,Vestas
11,Taegisan,14,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",556170.8412,313025.6114,37.59817688,128.2798524,2000,Vestas
11,Taegisan,15,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",555981.2615,312959.4447,37.59647733,128.2790741,2000,Vestas
11,Taegisan,16,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",555767.7973,312931.7063,37.59455792,128.2787272,2000,Vestas
11,Taegisan,17,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",555493.2947,313033.4684,37.59207281,128.2798368,2000,Vestas
11,Taegisan,18,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",555313.9331,313139.622,37.59044414,128.2810108,2000,Vestas
11,Taegisan,19,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",555081.9535,313205.9605,37.58834639,128.2817259,2000,Vestas
11,Taegisan,20,01-8,Onshore,"San1-5, Taegi-ri, Dunnae-myeon, Hoengseong-gun, Gangwon-do",554912.3081,313243.3224,37.58681369,128.2821226,2000,Vestas
12,Shinan,1,12-8,Onshore,"San 1-1, Gurim-ri, Bigeum-myeon, Sinan-gun, Jeollanam-do",242636.4359,102195.0224,34.77484281,125.9315531,1000,Mitsubishi
12,Shinan,2,12-8,Onshore,"San 1-1, Gurim-ri, Bigeum-myeon, Sinan-gun, Jeollanam-do",242663.0817,102455.1941,34.77510787,125.9343917,1000,Mitsubishi
12,Shinan,3,12-8,Onshore,"San 1-1, Gurim-ri, Bigeum-myeon, Sinan-gun, Jeollanam-do",242722.0882,102706.6509,34.77566368,125.9371315,1000,Mitsubishi
13,Yeongyang,1,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",445245.9512,399672.7873,36.58472498,129.2309807,1500,Acciona
13,Yeongyang,2,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",445128.1222,399687.2531,36.58366095,129.2311117,1500,Acciona
13,Yeongyang,3,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444993.7192,399723.0871,36.58244321,129.2314769,1500,Acciona
13,Yeongyang,4,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444864.4624,399909.9805,36.58124021,129.2335301,1500,Acciona
13,Yeongyang,5,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444729.6644,399878.7485,36.58003294,129.2331464,1500,Acciona
13,Yeongyang,6,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444588.1127,399811.6174,36.57877237,129.2323602,1500,Acciona
13,Yeongyang,7,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444465.1969,399822.1843,36.57766335,129.2324463,1500,Acciona
13,Yeongyang,8,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444327.8947,399911.1367,36.57640839,129.2334037,1500,Acciona
13,Yeongyang,9,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444217.7991,399960.4798,36.5754067,129.2339261,1500,Acciona
13,Yeongyang,10,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",444028.4641,399954.4089,36.57370308,129.2338092,1500,Acciona
13,Yeongyang,11,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443876.9868,399987.5943,36.57233214,129.2341403,1500,Acciona
13,Yeongyang,12,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443763.8242,400130.1037,36.57128332,129.2357019,1500,Acciona
13,Yeongyang,13,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443621.9763,400241.1747,36.56998276,129.236905,1500,Acciona
13,Yeongyang,14,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443474.5652,400229.2254,36.56865789,129.2367333,1500,Acciona
13,Yeongyang,15,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443314.062,400213.544,36.56721591,129.2365165,1500,Acciona
13,Yeongyang,16,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443186.7672,400254.2346,36.56606115,129.2369377,1500,Acciona
13,Yeongyang,17,12-8,Onshore,"Mangdongsan-gil 284-40, Seokbo-myeon, Yeongyang-gun, Gyeongsangbuk-do",443026.3071,400192.5013,36.5646292,129.2362069,1500,Acciona
